point,Year,Region,Longtitude,Latitude,AGB,NDVIUAV,NDVIL8,NDVIMODIS,KNDVIUAV,KNDVIL8,KNDVIMODIS,EVIUAV,EVIL8,EVIMODIS,OSAVIUAV,OSAVIL8,OSAVIMODIS
NMX-001,2021,X,114.6280388,43.9197704,51.752,0.114,0.23858,0.28752,0.01755,0.05689,0.08268,0.10315,0.17159,0.17823,0.05249,0.2106,0.24119
NMX-002,2021,X,116.3848161,43.96298051,52.41,0.1661,0.27555,0.46184,0.03175,0.07591,0.21494,0.15087,0.18915,0.2878,0.07996,0.23918,0.37381
NMX-004,2021,X,115.8207589,44.10266555,48.145,0.17811,0.26187,0.30287,0.03706,0.06873,0.09217,0.15868,0.17355,0.19366,0.07998,0.22946,0.25611
NMX-005,2021,X,115.62902,44.1069164,142.719,0.51559,0.32906,0.49226,0.26575,0.11173,0.24064,0.49335,0.32074,0.28388,0.20511,0.41346,0.38784
NMX-007,2021,X,116.8949706,44.15297221,36.428,0.25948,0.31113,0.41326,0.07432,0.09654,0.17067,0.25381,0.22046,0.24667,0.12223,0.26567,0.33045
NMX-008,2021,X,117.3591107,44.29601346,60.612,0.266,0.36143,0.40532,0.08791,0.13149,0.1636,0.25498,0.22445,0.2385,0.12072,0.27539,0.32882
NMX-009,2021,X,116.7888231,44.3916297,74.814,0.31429,0.42189,0.50787,0.107,0.17627,0.25675,0.3,0.27751,0.3179,0.13163,0.33682,0.41062
NMX-010,2021,X,113.8694733,44.63422864,181.626,0.47433,0.43573,0.5739,0.22671,0.19575,0.31951,0.41774,0.34896,0.35762,0.1795,0.38003,0.46657
NMX-011,2021,X,113.9307176,44.74837654,95.134,0.34409,0.51935,0.545,0.14422,0.26966,0.29108,0.38311,0.31615,0.32565,0.1712,0.43426,0.43266
NMX-012,2021,X,117.3702181,44.50822327,95.79,0.34605,0.40865,0.55031,0.13066,0.16587,0.29454,0.32387,0.267,0.36028,0.14465,0.32723,0.45239
NMX-015,2021,X,114.4304325,44.84030468,96.63,0.35314,0.42681,0.4945,0.13073,0.18033,0.24115,0.30832,0.26403,0.30839,0.13541,0.33409,0.40299
NMX-016,2021,X,117.3959977,44.70123508,150.114,0.4409,0.46028,0.55994,0.19835,0.20905,0.30521,0.39151,0.27531,0.34832,0.16382,0.3533,0.44809
NMX-017,2021,X,114.9816124,45.09893957,52.55,0.47948,0.41815,0.57547,0.233,0.2147,0.32268,0.48107,0.32616,0.40408,0.1966,0.34588,0.49174
NMX-018,2021,X,117.2940933,44.91555576,136.184,0.40381,0.50798,0.6068,0.17818,0.26004,0.35363,0.38306,0.25722,0.38514,0.16197,0.37245,0.48871
NMX-020,2021,X,116.3332029,45.02509199,100.814,0.18581,0.32399,0.38506,0.04626,0.10618,0.14987,0.19462,0.20049,0.24315,0.08259,0.26185,0.31651
NMX-023,2021,X,117.1486928,44.98252733,100.806,0.4245,0.51459,0.61077,0.18299,0.25889,0.35679,0.40798,0.29791,0.39145,0.17214,0.39275,0.49697
NMX-024,2021,X,115.5473323,45.25011499,123.836,0.4122,0.44788,0.49401,0.17611,0.19804,0.24245,0.38273,0.28257,0.34071,0.15365,0.35363,0.41712
NMX-029,2021,X,118.1073866,45.03093095,75.858,0.6163,0.5194,0.69617,0.36438,0.27847,0.45014,0.6323,0.42976,0.42011,0.25629,0.4596,0.5593
NMX-030,2021,X,117.3037141,45.20925483,79.054,0.53389,0.55826,0.60281,0.2819,0.30202,0.34902,0.57103,0.4233,0.40106,0.23721,0.47196,0.50192
NMX-032,2021,X,118.6619476,45.22882374,155.238,0.63623,0.65973,0.72663,0.38535,0.40978,0.48387,0.62906,0.42981,0.47978,0.25399,0.52578,0.55655
NMX-033,2021,X,116.5415588,45.53980875,124.196,0.57357,0.62303,0.66927,0.32092,0.37017,0.42026,0.57051,0.44453,0.45123,0.23253,0.51314,0.54933
NMX-035,2021,X,116.911351,45.63422433,127.242,0.462,0.5462,0.56543,0.21813,0.29191,0.31036,0.46878,0.33187,0.36662,0.19639,0.4303,0.45697
NMX-036,2021,X,118.8958062,45.53921694,127.523,0.5464,0.38474,0.59208,0.29354,0.17961,0.33762,0.5269,0.35541,0.34285,0.21253,0.29862,0.45761
NMX-039,2021,X,119.1183295,45.53769762,98.358,0.47742,0.50746,0.48624,0.22838,0.25203,0.23289,0.46651,0.33291,0.28626,0.19777,0.39517,0.38608
NMX-040,2021,X,117.0706602,45.75615632,165.895,0.61926,0.64257,0.68917,0.36916,0.39114,0.44273,0.66465,0.46767,0.46927,0.27229,0.52462,0.56661
NMX-041,2021,X,117.5568291,45.70923079,115.332,0.59357,0.57113,0.57628,0.3419,0.31524,0.32112,0.65919,0.4357,0.36973,0.27003,0.4637,0.46676
NMX-044,2021,X,117.6017982,45.7359902,148.938,0.50993,0.60694,0.62805,0.25887,0.35264,0.37604,0.50947,0.40318,0.39286,0.21564,0.48382,0.51205
NMX-045,2021,X,116.459744,45.84350583,92.878,0.61926,0.49656,0.47487,0.19618,0.24404,0.22287,0.40455,0.28031,0.29794,0.1691,0.38207,0.38726
NMX-046,2021,X,116.477855,45.89498249,94.041,0.40264,0.50144,0.54727,0.17255,0.24751,0.29311,0.41605,0.33361,0.36796,0.18429,0.40467,0.46182
NMX-049,2021,X,117.7840617,46.1265066,143.478,0.52263,0.51364,0.59047,0.27077,0.25846,0.33581,0.55097,0.33306,0.37603,0.23615,0.41146,0.48237
NMX-050,2021,X,117.7651681,46.2689237,116.98,0.49567,0.54771,0.49294,0.25021,0.29276,0.23985,0.54837,0.40934,0.33439,0.24956,0.47628,0.41959
NMX-051,2022,X,115.951222,44.158899,15.356,0.03352,0.20824,0.21509,0.002142966,0.042800906,0.046567192,0.043618154,0.348878384,0.134895826,0.015390136,0.240012271,0.179015972
NMX-052,2022,X,115.746538,44.044745,8.532,0.03389,0.20698,0.26647,0.119125,0.044387508,0.074573564,0.547146,0.34262121,0.173849997,0.13452,0.24436477,0.231530556
NMX-053,2022,X,115.512431,44.415448,112.792,0.33237,0.43797,0.41171,0.274541769,0.199296933,0.170423701,1.063331843,0.898110178,0.274736104,0.202328294,0.52113992,0.348430556
NMX-054,2022,X,116.557719,44.329994,134.616,0.52434,0.42449,0.61772,0.007516117,0.158133053,0.363176781,0.088385281,0.769968147,0.358940958,0.034190092,0.46321915,0.477395833
NMX-055,2022,X,115.52446,43.68826,36.634,0.06832,0.22524,0.26678,0.007262089,0.055988004,0.071582662,0.103067706,0.351564999,0.17689583,0.033946837,0.259323608,0.2311875
NMX-056,2022,X,115.513613,43.721457,30.904,0.07429,0.26884,0.26799,0.015822,0.07406731,0.071803214,0.140257,0.300267279,0.173743051,0.043286,0.315407806,0.228947222
NMX-057,2022,X,115.81991,44.32718,34.49,0.10008,0.23627,0.22242,0.209210891,0.054355176,0.049611317,0.80281259,0.410013075,0.150180551,0.174159947,0.269973867,0.190031944
NMX-058,2022,X,116.854343,43.73136,50.936,0.45616,0.48358,0.54729,0.074460474,0.110815465,0.291233381,0.411987721,1.011989976,0.344799992,0.111854278,0.591350039,0.443783333
NMX-059,2022,X,116.638152,43.807392,40.988,0.26645,0.32652,0.48028,0.025731759,0.10033125,0.233043046,0.200587851,0.586071648,0.294088879,0.061309472,0.374618843,0.387083333
NMX-060,2022,X,115.902738,43.746446,41.766,0.1427,0.27869,0.29576,0.021851411,0.074677442,0.087867712,0.180590225,0.469035463,0.205197216,0.05344848,0.316534029,0.257340278
NMX-061,2022,X,115.800926,43.800531,15.638,0.12879,0.26795,0.27012,0.122894236,0.077704587,0.073148853,0.556278197,0.461575337,0.187663884,0.139325627,0.323519553,0.235065278
NMX-062,2022,X,116.339955,44.136988,126.306,0.34224,0.38659,0.51394,0.012696603,0.070265103,0.258993967,0.122258713,0.670616865,0.287520829,0.039383482,0.435638858,0.3944375
NMX-063,2022,X,114.789731,43.856568,29.316,0.09354,0.23072,0.24188,0.002466996,0.051680449,0.058511849,0.02086461,0.369134777,0.167743745,0.008303031,0.263331345,0.214170139
